事;thing
周辺;outskirts, around
十日;tenth (date)
収入;income
市場;market
着物;kimono
メニュー;menu
夏休み;summer holiday
壊す;break
なさる;do (honorific)
仮;temporary, provisional
かえって;on the contrary, rather
関する;be related to, be concerned with
満たす;fill, satisfy, meet
いわば;so to speak, as it were
スタッフ;staff
住所;address
コース;course, route, lane
訪ねる;visit, go to see
鍵;key
世界中;around the world, throughout the world
下手;not good at, poor, bad, unskilled
詩;poem, poetry
整える;arrange, prepare
ツアー;tour
西;west
事項;matter, fact, item
塾;cram school
去る;, adn. leave, pass, be gone
五人;five people
入り口;entrance
改めて;over again
県;prefecture
断る;decline, refuse, reject, turn down
事務所;office
大さじ;tablespoon
耐える;stand, endure, bear
職員;staff member
五分;five minutes
閉じる;close, shut
芝居;play, drama
奪う;rob, take by force
三ヶ月;three months
傷;injury
外国人;foreigner
八時;eight o’clock
冷蔵庫;refrigerator
任せる;entrust, leave
赤;red
かぶる;put on, cover
海外旅行;travel abroad, foreign trip
水;Wednesday, Wed.
なるほど;I see, indeed, to be sure, of course
空港;airport
生える;grow, sprout, cut (teeth),
防ぐ;defend, protect
ホームページ;home page
貸す;lend, rent
ママ;mom, mummy
空く;become vacant, be free
危ない;dangerous, risky
映像;picture, image, video
壊れる;be broken, be damaged
派遣（する）;, v. dispatch, send
カード;card
世間;world, public, society
手伝う;help
社員;employee, member of staff
月;Monday, Mon.
信頼（する）;, v. trust, rely on
沿う;along
輝く;shine, glitter, twinkle, glow
三時;three o’clock
ペット;pet
世;world, public
襲う;attack, hit
問;question number
サイト;website
ボランティア;volunteer
問題点;problem, point at issue
一人一人;one by one, each (people)
サイズ;size
線;line
子育て;child rearing, bringing up one’s child
願い;wish, hope
よろしい;all right, good, may (I) (formal)
二十分;twenty minutes
モデル;model
余計;additional, extra
引き続く;continue
移す;move, transfer, shift
りんご;apple
まずい;not taste good
食料;food, provisions
間;during
属する;belong to, be a member of
豊富;rich, abundant
消費者;consumer
喉;throat
布団;futon, Japanese-style bedding
十五分;fifteen minutes
宇宙;universe, space
同じく;likewise, like, as
資金;funds
しかたない;It can’t be helped, be beyond any help, I can’t help ...
料金;charge, fee, fare
デパート;department store
地図;map
唇;lip
釣り;fishing
十五日;fifteenth (date)
駅前;in front of the station
ご覧;looking, seeing (honorific)
大会;convention, mass meeting, tournament
拾う;pick up, gather, pick out
いざ;when one comes to, if compelled
二番目;second
良さ;good point, good
素材;material
絞る;squeeze
江戸;Edo
下る;go down
天気;weather
作家;writer
減らす;reduce, cut down
ゴルフ;golf
敷く;spread, lay
日常;, adv. everyday, daily, usually
毎回;every time
影;shadow
うるさい;noisy
法;law
罪;crime
まるい;round, circular
団体;party, group, organization
洋服;clothes, suit, dress
多数;many, a number of
生き方;way of life
備える;get something ready, prepare
おしゃれ;fashionable, smart
住宅;house, residence
働き;work
踏む;step on, tread on
ファイル;file
有り;n. exist
要因;factor, main cause
わし;I (used by old men)
火;fire
クラブ;club
懐かしい;nostalgic
ページ;page
止む;stop
外れる;be off, get out of place, be dislocated
経済的;economical
机;desk
使い方;how to use
ハワイ;Hawaii
予算;estimate, budget
真面目;serious
勇気;courage, bravery
皿;plate, dish
ありがたい;kind, welcome
視点;viewpoint
素直;obedient, tame
表面;surface, outside, appearance
削る;shave
部活;club
サラリーマン;salaried worker, office worker
ニューヨーク;New York
確かめる;confirm, make sure
東;east
主人公;hero, heroine
アメリカ人;American (person)
高校時代;high school days
愛情;love, affection
微妙;delicate, subtle
生み出す;create, invent
ビル;building
あらかじめ;beforehand, in advance
財産;property
証拠;evidence
四日;fourth (date)
サークル;circle, club
皆様;everybody
光景;sight, spectacle
パターン;pattern
シーン;scene
新鮮;fresh
恵まれる;be blessed
煮る;boil, cook
旨;effect
人間関係;interpersonal relationship
ボタン;button
少女;girl
命ずる;order
自己;oneself, self
ロンドン;London
端;end, tip, edge
加わる;increase, add
規模;scale
悩み;trouble, worry
鳴る;sound
運;luck, fortune
ルール;rule
妙;strange, curious
告げる;tell, announce
恋;love (romantic)
現象;phenomenon, happening
ベース;base, basis
ネット;net
商売;business
積む;pile up, heap up
文句;words
発想;idea, conception
見なす;be considered, look upon
親戚;relative
大幅;steep, big, sharp
アドバイス;advice
生命;life
中央;center adj. central
ほめる;praise, speak well of, commend
カナダ;Canada
話し合う;talk, discuss
注ぐ;flow into
増す;increase
浴びる;bathe
縁;chance, fate, destiny
吐く;exhale, breathe out
渋谷;Shibuya (place name)
間違える;make a mistake
セット;set
明かり;light
玉ねぎ;onion
良し;good, OK
二本;two (long/cylindrical objects)
貴重;precious, valuable
引っ張る;pull
城;castle
覆う;cover
教授;professor
橋;bridge
巨大;huge, enormous, gigantic
苦手;not good at, weak point
スタイル;style, body, figure
テント;tent
ユダヤ人;Jew, Jewish person
主;head, master
意志;will, willpower
容易;easy
しばしば;always, often
のんびり;tranquil, leisurely, easygoing
話しかける;speak to
揃える;arrange, prepare
毎月;every month
礼;bow
つぶやく;mutter, murmur
十一時;eleven o’clock
恐怖;fear, dread, terror
右手;right hand
親しい;close, friendly
間違い無い;must be
怒り;anger, rage, fury
本格的;genuine, real
四時;four o’clock
二人共;both of them, two people
好む;like, be fond of, love, care
苦しむ;feel pain, suffer
見方;point of view, way of looking
成績;record, result, grade, mark
本日;today
大いに;very, greatly
たまる;bear, endure
お子さん;(someone else’s) child
実態;actual situation
隠れる;be hidden, hide
埋める;cover, bury
トップ;top
もはや;now, already
真;truth
知り合う;get to know
親子;parent and child, parents and children
取り組み;match
招く;invite
二十日;twentieth (date)
政治家;politician
飛び出す;spring out
陥る;fall into
寄せる;let come near, bring near
定員;capacity (people)
駐車場;parking space, parking lot, car park
彼氏;boyfriend
式;ceremony
蓋;lid
実;seed
社会人;adult
墓;grave
宿;inn, hotel
都心;city center, downtown area
二ヶ月;two months
役立つ;useful
土曜日;Saturday
労働者;laborer, working man
五日;fifth (date)
成り立つ;be concluded
人数;number of people
物質;matter, material
温度;temperature
性質;nature, disposition
方針;course, line
ひたすら;determinedly, earnestly
秘密;secret, confidence
該当（する）;fall under, be applicable, correspond
案内;guidance
基礎;basis, basics, foundation
草;grass, weed
食品;food
トラブル;trouble
植える;plant
定義;definition
盛り上がる;swell, rise
祖父;grandfather
扉;door
廊下;corridor
要請;request
お姉さん;elder sister
プログラム;program
職業;occupation, trade, profession
限界;limit, boundary
地位;rank, position
負う;take, assume
何しろ;anyhow, anyway
何と;how, what
エンジン;engine
コンビニ;convenience store
質;nature, quality
漢字;kanji, Chinese character
政策;policy
本物;real (thing), genuine
作り出す;make, create
解消（する）;cancellation, annulment
キャンプ;camp
アルバム;album
運命;destiny, fate
発する;emit, release
ロボット;robot
水分;water, moisture
天皇;Emperor (of Japan)
布;cloth
生物;living thing
根;root
信用（する）;trust, rely on
ロシア;Russia
農業;agriculture
思想;thought, idea
丁寧;careful, polite
種;seed
書類;document
疑う;suspect, doubt
神様;god, God
悔しい;regrettable, frustrating
農家;farmer
市町村;municipality
被害者;victim
時計;watch
雲;cloud
ぱっと;suddenly
メッセージ;message
いじめ;bullying
効果的;effective
しょっちゅう;often, always
オリンピック;Olympics
知恵;wisdom
伝統;tradition
留まる;stay
受かる;pass
恐れる;fear, be afraid
著しい;significant
カレー;curry
ウインドウズ;Windows
救う;save, rescue
助かる;survive, be saved
巡る;go around
響く;affect
事前;prior
潰す;smash
二時;two o’clock
行事;event
男女;men and women
メイン;main
かむ;bite
温める;warm, heat
概念;notion, idea, concept
複数;plural
突っ込む;thrust, stick
牛;cattle, cow, ox
鏡;mirror
二千年;2000 (year)
煙;smoke, fumes
価値観;sense of values
バター;butter
スープ;soup
トラック;truck
委員;committee member
行政;administration, government
一年生;first grade, first year
犯す;commit, offend
膨らむ;swell, expand
とうとう;finally
このごろ;these days
女子;woman, girl
JR (JR);Japan Railways (JR)
言語;language, tongue, speech
以来;since
市内;within the city
針;needle
集団;group, mass
体調;physical condition
三年間;three years
手前;this side
幼い;young, immature, childish
説;theory
神社;shrine
列車;train
夢中;, na-adj. crazy about, obsessed with
トレーニング;training
よほど;very, greatly
どうせ;anyway
坂;slope, hill
絶える;cease, fail
三十一日;thirty-first (date)
ぶつかる;strike, bump, collide
曲がる;bend, wind
前年;previous year, year before
飽きる;tire, weary, be tired of, get bored
三十日;thirtieth (date)
自分なり;in one’s own way
糸;thread, string
収まる;hold, pack
枝;branch, twig, bough
なにより;above all, chiefly, more than anything
教科書;textbook
六時;six o’clock
取り引き;business, dealing, trade
免許;license, permit
講ずる;take
太い;thick
開く;open
及ぼす;influence, affect
千円;one thousand yen
独自;original, own
夕食;dinner
震える;shake, tremble
心臓;heart
世界的;world, global
騒ぐ;make a noise, make a fuss
そっと;softly, lightly
溜める;save, store, accumulate
晩;night, evening
小屋;hut, cabin, barn, shed
会議;meeting
個性;personality, character
理想;ideal, dream
給料;salary
マスコミ;mass media, mass communication
屋根;roof
クリスマス;Christmas
重なる;pile up
各地;each place
落ち込む;sink, go down
とんでも;unexpected
思い付く;think of, guess, conceive
新幹線;bullet train
第三;third
数える;count, number
地面;ground, land
台風;typhoon
映る;reflect
大臣;Cabinet minister, minister of state
紅茶;tea (black)
控える;abstain, hold back, refrain
促す;urge
何事;what
プレゼント;present
配る;deal, distribute, deliver
ゼロ;zero
義務;duty, obligation
十人;ten people
年間;year
広島;Hiroshima
NHK (NHK);Nihon Hoso Kyokai (Japan Broadcasting Corporation)
飛び込む;dive, plunge
ゆでる;boil
プール;pool
弁護士;lawyer, counsellor
叱る;scold, admonish
恋人;lover, boyfriend, girlfriend
暮らし;life, livelihood
王;king, monarch
税金;tax
預ける;leave, check, deposit
軟らかい;soft, tender
物事;thing
相変わらず;as ever, as usual, the same, as before [always]
年金;pension, annuity
やりとり;exchange, interchange
ホーム;platform
頼る;depend, turn to, trust
学生時代;student days, university days
憧れ;admiration
内側;inside, interior, inner
講師;speaker, lecturer
池;pond
役者;actor, actress
光る;shine, glitter, twinkle
富士山;Mt. Fuji
必要性;necessity
七時;seven o’clock
柱;pillar, post
間に合う;catch, get, make it
年代;era
鉄;iron, steel
特殊;special
引き上げる;pull up
スペイン;Spain
裁判;trial
上回る;exceed, surpass
地下鉄;subway, underground
専門家;expert, specialist
内部;inside, interior
割る;break
スペース;space, room
結果的;result
飲める;be able to drink
割;cost, rate
日記;diary
担う;cover, carry, take
揺れる;shake, wave, swing
一匹;one (animal)
憲法;constitution
件;affair, matter, issue
江戸時代;Edo era
むく;peel, pare
親切;kind
埼玉県;Saitama prefecture
急速;rapid, speedy
燃える;burn, flame, glow, be on fire
末;end, last
胃;stomach, belly
九州;Kyushu
ブログ;blog
ケーキ;cake
六年;six years
袋;bag, sack, pouch
医療;medical care, medical treatment
増大（する）;increase, growth
ほっとする;be relieved
お土産;present, souvenir
謝る;apologize
見直す;review, look over
無人;uninhabited, empty
心がける;be careful, be prudent
テープ;tape
七日;seventh (date)
二つ目;second
板;board, plate
前項;previous page
選挙;election
受け止める;take, catch
景気;business conditions, economy
二十五日;twenty-fifth (date)
根拠;ground, evidence
チケット;ticket
民間;private, non government
口調;tone, voice
ふさわしい;suitable, appropriate
眼鏡;glasses, spectacles
脇;side
持ち込む;bring, import
全身;all over, whole body
兄さん;elder brother
つながり;connection, relation
欠ける;lack
嫌う;hate, detest
保険料;insurance premium
飛ばす;let fly, fly
教わる;learn
三十年;thirty years
後半;latter half, second half
たく;burn
何日;many days
遺伝子;gene
本屋;bookshop
明日;tomorrow
早め;early
独特;peculiar, unique
今夜;tonight
ゆえ;reason
リズム;rhythm
突く;push
魂;soul, spirit
ライブ;live (music)
演ずる;play, perform
常識;common sense, general knowledge
闇;darkness, dark
見守る;watch, observe
栄養;nutrition
フランス語;French language
アクセス;access
PC (PC);personal computer
不幸;unhappiness, misfortune
こだわる;stick to
カット;cut
乾く;dry
おまけ;addition, free gift
ついで;on one’s way, along the way
名称;name
鍛える;train, discipline
大学生;college student, university student
左手;left hand
たった;just, only
およそ;around, about
八日;eighth (date)
ぴったり;tight
添える;attach, add
ノート;notebook
陰;shade, shadow
漬ける;soak
果物;fruit
個々;individual, each
十六日;sixteenth (date)
電話番号;telephone number
混む;be crowded
築く;build, have
穏やか;mild
結び付く;join, be connected with
崩れる;crumble, collapse
届ける;deliver
プレー;play
百;hundred
（お）尻;hips
汚れる;dirty, soil
産業;industry
前日;eve, previous day
驚き;surprise, amazement
ソ連;the Soviet Union
悲しみ;sadness, grief
十一日;eleventh (date)
最低;minimum, lowest
にんにく;garlic
順番;turn, order
裁判所;court, courthouse
申し訳;excuse, apology
葉っぱ;leaf
生き物;creature, life
演出（する）;, v. direction, direct
三年生;third grade, third year
見上げる;look up
話し合い;discussion, meeting
値;price
一人暮らし;living alone, single life
趣旨;purpose, intention, point
柔らかい;soft
舌;tongue
三時間;three hours
詰める;plug, pack, stuff
勝利;victory, triumph, winning
今朝;this morning
総合的;synthetic, integrated, comprehensive
美しさ;beauty
法人;corporation
滑る;slide, slip
極端;extreme
念;sense, feeling
銀座;Ginza (place name)
十五年;fifteen years
漂う;drift, float
測る;measure
永遠;eternity, permanence
十四日;fourteenth (date)
取り戻す;take back, repossess
いっぺん;at the same time
門;gate
伸び;growth
たどる;follow, trace, search
事例;case
やばい;risky, chancy
冗談;joke
巣;nest
手伝い;help
細胞;cell
犠牲;sacrifice, expense
殴る;hit, strike
前後;back and forth
六日;sixth (date)
比率;ratio, proportion
タイ;Thailand
放つ;fly, loose
香港;Hong Kong
湖;lake
稼ぐ;earn
真実;truth, reality
前回;last time, previous time
科学;science
順;order
読者;reader
社会的;social
劇団;theatrical company
看護婦;nurse (female)
人参;carrot
一面;side, facet
生涯;life, lifetime
意思;will, intention
台湾;Taiwan
日常生活;daily life
拭く;wipe, dry
レース;race
民族;people, race, nation
天;sky, heaven
花火;firework
項目;item, heading
動向;trend, movement
日頃;everyday
砂;sand
大根;Japanese radish, radish
浮く;float, suspend
まして;much less, much more
リスク;risk
引っ掛かる;catch
オークション;auction
二十一日;twenty-first (date)
武器;weapon
都内;in the city
すっきり（する）;, v. feel refreshed
十二日;twelfth (date), twelve days
別に;(not) particularly
十八日;eighteenth (date)
お宅;your house
交通;traffic
業界;business world
需要;demand
帰国（する）;, v. going/coming back to one’s own country
午前中;in the morning, throughout the morning
深刻;serious
関係者;person concerned
追いかける;run after, chase
毎週;every week
頻繁;frequent
大声;loud voice
長年;long time
固まり;mass, lump
快適;comfortable
沈む;sink, go down
男子;boy, man
爪;nail
青年;young man
捕まえる;catch, arrest
氷;ice
十七日;seventeenth (date)
鋭い;sharp, pointed
いじめる;torment, bully, tease
業者;dealer, agent, operator
大半;better part, most part
作り上げる;make up, build up
三つ目;third
称する;call
九日;ninth (date)
雌;female animal
跡;track, trail
トマト;tomato
エピソード;episode, anecdote
真;truth, fact
スピーチ;speech
一見;at a glance
足元;at one’s feet
台所;kitchen
毛;hair
一点;point, single point
二十三日;twenty-third (date)
経費;expense, cost
晴れる;clear up, be dispelled
ポケット;pocket
法則;law
資産;assets, property
慎重;careful, discreet
二十四日;twenty-fourth (date)
尽くす;do one’s best, devote
謎;mystery, riddle
田んぼ;rice field
評判;reputation
寒さ;cold
天井;ceiling
池袋;Ikebukuro (place name)
せめて;at least, at most
喫茶店;tearoom, coffee shop, café
従業員;employee, worker
嫁;wife
浮かべる;float
災害;disaster, calamity
国際的;international
髪の毛;hair
受け付け;acceptance, information desk, reception (desk)
玉;ball
型;model, pattern, type
順調;satisfactory, favorable, smooth
専門;specialty, speciality
振り;pretence
売り上げ;sales
利用者;user
多様;various
地方公共団体;local public body
鉄道;railroad, railway
誕生日;birthday
五十年;fifty years
役員;official, director
設備;equipment, facilities
用;something to do
ただいま;now, just now, at once
十三日;thirteenth (date)
遺跡;ruins, remains
模様;pattern, design, look
深める;deepen
パパ;papa, dad
文;sentence
中国人;Chinese (person)
聖書;Bible
神経;nerve
癒す;heal, cure, recover from
磨く;polish, brush
コンサート;concert
粉;flour, powder
身長;height
形態;form
部下;subordinate
二十世紀;twentieth century
ひょっとする;perhaps
都道府県;prefectures
直前;just before
出身;hometown
区;ward, district
しょう油;soy sauce
こつ;knack
ぼおっと;vacantly
ソース;sauce
二十二日;twenty-second (date)
固まる;harden
ステージ;stage
ストーリー;story
越す;cross, pass
まとまる;be well arranged
始まり;beginning, origin
解く;untie
別れ;parting, farewell
女房;wife
才能;talent, ability
背後;back
株;stump
いまさら;now (after such a long time)
強力;strong, powerful
神戸;Kobe
見出だす;find, discover
北朝鮮;Democratic People’s Republic of Korea, North Korea
側面;side
誇り;pride, honor
作り;make, construction
米;meter
二十一;twenty-one
直ちに;immediately, directly
バッグ;bag
本書;this book
器;container
血液;blood
衝撃;shock, impact
嫌がる;be reluctant
とりわけ;especially
小麦粉;flour
気配;indication, sign
理論;theory
見解;opinion, view
いかにも;indeed, really, just
単位;unit, credit
掘る;dig
歌詞;song lyrics
絡む;get entangled, involve
文明;civilization
長崎;Nagasaki
構える;get set, get ready
住まい;house, residence
二十八日;twenty-eighth (date)
重大;serious, important
各国;each country, various countries
無理矢理;forcibly, against one’s will
五百円;five hundred yen
祈る;pray, wish
三番目;third
平日;weekday
支払い;payment
皮膚;skin
反面;other side
代表的;representative, typical
整う;be ready
初心者;beginner
たどり着く;finally arrive at, struggle along to
焼ける;be burned
ウサギ;rabbit
脱ぐ;take off
八年;eight years
意;mind
自民党;Liberal Democratic Party
地下;basement
両者;both, the two
適する;suit, fit
引き受ける;undertake
番号;number
経営者;manager, proprietor
焦る;be in a hurry
論文;essay, thesis, paper, dissertation
タイミング;timing
百パーセント;one hundred percent
週末;weekend
出品者;exhibitor
二十六日;twenty-sixth (date)
正式;formal, official
カラオケ;karaoke
満ちる;be full
おとなしい;gentle, well‐behaved, quiet
知人;acquaintance
刻む;cut into fine pieces
十九日;nineteenth (date)
千葉県;Chiba prefecture
食材;ingredient, foodstuff
携わる;participate, be engaged
組み合わせ;combination, matching
冷静;calm
台詞;lines, speech, words
コート;coat
二年生;second grade, second year
ロック;rock
国会;national assembly, Diet
編む;knit, braid
破る;tear
真っ赤;bright red
意図;intention
さらす;expose
手間;labour
可愛がる;love, treat with affection
森林;forest, woods
マイナス;minus
ラーメン;Chinese noodles
帽子;hat, cap
オープン（する）;, v. open
名古屋;Nagoya
離す;separate, divide
数値;numerical value
熱心;eager, enthusiastic
見直し;review, reconsideration
盗む;steal
一冊;one (book)
強さ;strength, power
紐;string
岩;rock
純粋;pure
ビートルズ;Beatles
フライパン;frying pan
一階;first floor, ground floor
さっぱり;not at all
正面;front
演劇;drama, play
疲れ;fatigue, exhaustion, tiredness
経緯;details, process
探る;fumble
数学;mathematics
関わり;relation, connection
英国;United Kingdom, Britain
巻き込む;involve
覚え;memory
優秀;excellent
リラックス（する）;, v. relax
施策;policy, measure
瞳;pupil
二十七日;twenty-seventh (date)
権限;authority, power
三歳;three years old
朝食;breakfast
ご免;pardon, sorry [to decline]
缶詰;canned food
こしょう;pepper
潰れる;be crushed
海岸;seashore, seaside
領域;territory, field
映画館;movie theater, cinema
気温;temperature
引き起こす;raise up, cause
筋;tendon
ガラス;glass
土日;Saturday and Sunday
おもちゃ;toy
島;island
丘;hill
二年間;two years
メディア;media
一台;one (machine/vehicle)
翌年;the next year, the following year
酸素;oxygen
いまや;now
金融機関;financial institution
百円;one hundred yen
黄色;yellow
文書;document
初期;early days, initial stage
ぬれる;get wet
はがき;postcard
巨人;giant
俺達;we (used by male speakers)
苦痛;pain
パワー;power
実力;real ability
面する;face
もったいない;wasteful
港;harbour, port
片方;one side
最悪;worst
ぎりぎり;barely
二十九日;twenty-ninth (date)
この世;this world
片手;one hand
キリスト教;Christianity
年寄り;old people
気軽;light-hearted, feel free
鳴く;cry, sing
コーナー;corner
徒歩;on foot, walk
眠い;sleepy
厚い;thick
二千二年;2002 (year)
中小企業;small and medium-sized enterprises
浅草;Asakusa (place name)
完璧;perfect
傷付ける;hurt
とく;, adj. [shortened form of “teoku”]
あご;jaw, chin
ねた;material
雇う;employ, hire
雄;male animal
欧米;Europe and America
酢;vinegar
印象的;impressive
権力;power, authority
空く;become empty, be free
ビジネス;business
幅広い;wide, broad
アイデア;idea
十二時;twelve o’clock
ベトナム;Vietnam
だます;cheat, trick, deceive
片付ける;put in order, tidy
組み合わせる;combine, put together, match
むろん;of course
乗り越える;climb over
休日;holiday, day off
寝袋;sleeping bag
疑い;doubt, suspicion
引き出す;pull out, bring out
折;occasion, opportunity
こなす;cope with
パチンコ;pachinko, Japanese pinball
導く;guide, lead
折る;break
関西;Kansai region
単語;word
曖昧;vague, ambiguous
死体;dead body
アフリカ;Africa
幸福;happiness
籠もる;shut oneself up
レッスン;lesson
危機;crisis, critical moment
アーティスト;artist
子達;children
くっ付く;stick, keep close
取り付ける;install, arrange
原稿;manuscript, draft
説く;explain
服装;clothes, dress
六人;six people
中野;Nakano (place name)
ラッキー;lucky
二回目;second time
棒;stick, pole, bar
圧倒的;overwhelming
引き取る;take back, collect
団地;housing development
会長;president, chairperson
利点;advantage
ジャンル;genre, category
縦;length
隙間;crevice, opening, gap
歴史的;historical, historic
羨ましい;envious
ガス;gas
ウイルス;virus
二千一年;2001 (year)
潜る;dive
一万円;ten thousand yen
意義;meaning, significance
憧れる;long for
前向き;facing forward
ゆったり;comfortably
漏れる;leak, escape
品物;goods, article
前述（する）;, v. above-mentioned, mentioned above
OS (OS);operating system
まとも;direct
二十代;twenties
孤独;lonely
崩す;destroy
競馬;horse racing
格好良い;cool, good-looking
交わす;exchange
伝統的;traditional
パーティー;party
役目;duty, role
営む;run a business
パート;part
手のひら;palm of the hand
地上;ground
踊り;dance
押し付ける;press against, force
溶ける;melt, thaw
奇妙;strange, odd
最中;in the middle of
依然;still, as before
素早い;quick
そこらへん;around there
有利;profitable, advantageous
水準;standard, level
じっくり;without haste, deliberately
首相;prime minister
レコード;record
滅多;rash, thoughtless
機関;engine
手作り;handmade, homemade
エジプト;Egypt
下町;Shitamachi (place name)
戦前;pre-war
いい加減;irresponsible, groundless
後者;the latter
入り込む;go into
シャワー;shower
栗;chestnut
札幌;Sapporo
主体;main constituent
家内;one’s family
看板;signboard, billboard
将棋;shogi, Japanese chess
家事;housework
捕まる;be caught, be arrested
他方;the other side
交通事故;traffic accident
手順;order, process, plan
コスト;cost
余る;be left over
輪;circle, ring
男達;men
地名;place name
大手;major companies
本番;performance
同僚;colleague
楽しさ;pleasure, charm
丈夫;strong
技;skill, technique, trick
たちまち;in a moment, at once
仕上げる;finish, complete
小さじ;teaspoon
深夜;middle of the night
なおかつ;besides, and yet
活発;lively, active
芸術;art
ブラジル;Brazil
チーズ;cheese
教え;teaching, lesson, doctrine
今月;this month
仙台;Sendai
特許;patent
株式;stock, shares
カフェ;café
シンプル;simple
規則;rule, regulation
客観的;objective
つくづく;thoroughly, deeply, carefully
一つ目;first
たんぱく質;protein
Eメール;e-mail
頬;cheek
面積;area, size
大正;Taisho era
固める;make something hard, strengthen
反する;go against, be contrary
振るう;flourish, prosper
直後;immediately after, just after
せいぜい;at most
特性;character, property
貧しい;poor
マナー;manners
いちいち;one by one
政令;government ordinance
王様;king
折れる;break
竹;bamboo
暴力;violence
えび;prawn, shrimp
担任;class teacher
角度;angle
革命;revolution
後輩;one’s junior
一連;course of, series of
自動的;automatic
郵便局;post office
概要;outline, summary
ローマ;Rome
体制;system, structure
上記;the above, above-mentioned
何時;what time
親友;best friend, close friend
お袋;mother
大げさ;exaggerated
そこそこ;about
論ずる;argue, discuss
家賃;rent
蛇;snake
自身;oneself
譲る;give
遡る;go back
鶏;chicken
保護者;protector
施す;give, do, apply, add
人材;talent
かすか;a few, a little
取り込む;take in
動機;motive
兼ねる;combine
ネットワーク;network
ハムスター;hamster
でかい;big, huge
下す;give, issue
やたら;freely, thoughtlessly
黄色い;yellow
確率;probability
ペース;pace
大統領;President
スムーズ;smooth
欠点;fault, defect
適正;appropriate, proper, reasonable
千葉;Chiba
望ましい;desirable
鳴らす;ring
ブランド;brand
学問;study, learning
共同;cooperation
取り除く;remove
不可欠;indispensable
神奈川県;Kanagawa Prefecture
ばれる;come out, be discovered
乗り込む;board, get into
欠かせる;cause to lack
窓口;window, counter
バラ;rose
血管;blood vessel
方言;dialect
時間帯;time (period), time zone
全体的;whole, overall
割れる;split
手法;technique, method
肉体;body
生き生き;lively, fresh
狂う;go mad
一口;bite, sip, mouthful
重要性;importance
繰り返し;repetition
覚める;wake up
ベスト;best
羽根;wing
背負う;carry something on one’s back
いつか;someday
次回;next time
基盤;base, basis
丸;circle, ring
オフィス;office
否;no
素人;amateur, beginner
十七歳;seventeen years old
一環;part of
争う;compete
一時的;temporary
観光客;tourist
主要;major, main
魅力的;charming, attractive
外側;outside
勘違い（する）;misunderstand, mistake
この間;adv. a few days ago
臭い;smelly
手元;at hand, with one
食;meal, diet
ため息;sigh
急激;sudden
お仕舞い;end, be all up with
たいして;(not) very much
同級生;schoolmate
受け継ぐ;inherit
重さ;weight
町作り;town development
顧客;customer
スイス;Switzerland
うかがう;peep, peer
軍隊;army, troops
そいつ;that guy
試みる;try
所得;income
リーダー;leader
地区;area
家具;furniture
自治体;municipality
剣;sword
介護保険;nursing care insurance
不況;recession
松;pine
古代;ancient times
シリーズ;series
食生活;eating habits
申し込む;apply
足る;be enough
四十年;forty years
思い込む;be obsessed with the idea
予備校;cram school preparing for university entrance examinations
膨大;enormous
寿命;life expectancy
根本的;fundamental, basic
幕府;shogunate
苦しみ;suffering, agony
要件;important matter
図表;chart
逃れる;escape
反対側;opposite side
プロジェクト;project
励ます;cheer up, encourage
存ずる;know
辞書;dictionary
中国語;Chinese (language)
カラス;crow
問い;question
派手;flamboyant, flashy
大学時代;college days, university days
干す;dry
披露宴;wedding reception
気候;climate
唱える;recite
作者;author
助け;help, assistance
関東;Kanto region
なめる;lick
不明;, n. unknown, unidentified
スケジュール;schedule
差し出す;hold out
外部;outside
ネズミ;rat
ニーズ;needs
現金;cash
彼女達;they (female)
故郷;home town
畳;tatami mat
がっかり（する）;be disappointed
福祉;welfare
上下;up and down
汚れ;dirt
書き込む;write in, jot down
視野;perspective, view
隅;corner
三十代;thirties
一斉;all at once
お盆;Bon Festival, Obon
ゆとり;have something to spare
打ち込む;devote oneself
福岡;Fukuoka
準用（する）;, v. apply mutatis mutandis, with necessary modification
右側;right side
ライン;line
預かる;keep, look after
美術館;art gallery, museum of art
二個;two (pieces, things)
冷やす;keep cool, cool
仏教;Buddhism
意欲;will, motivation
本音;true feeling
二種類;two kinds
主役;main character
次男;second son
多々;many
定期的;regular
通り過ぎる;pass, go past
スーツ;suit
形式;form
ピンク;pink
七年;seven years
生きがい;pupose in life, something to live for
にぎやか;busy, bustling
研究者;researcher
名付ける;name
信号;traffic light, signal
現に;as a matter of fact, actually
黒人;black person
事柄;matter, issue
早く;early, soon
速度;speed
奥様;wife (honorific)
まれ;rare
じゃが芋;potato
数多く;many, a number of
照らす;light
ミュージカル;musical
怪しい;eerie
友;friend
傾ける;tilt, incline
鉛筆;pencil
マラソン;marathon
広さ;area
リスト;list
振り向く;look around, turn around
二歳;two years old
遂げる;achieve
二十人;twenty people
タオル;towel
一泊;one night stay
的確;precise, exact
運転手;driver
各種;various, all sorts of
再度;twice, again
以後;after this, since then
熊;bear
八王子;Hachioji (place name)
贈る;give (as a present), send
林;grove, forest, wood
燃やす;burn
枠;frame
児童;pupil
真っ白;pure white
さっと;quickly
蹴る;kick
蜂蜜;honey
度々;often
通訳;interpreter
飼い主;pet owner
傍ら;side, besides
室内;indoor
会員;member
衣装;costume
足す;add
シャツ;shirt
イラク;Iraq
取り扱う;handle, treat
わざと;intentionally
前年度;preceding year
新郎;groom, bridegroom
幹部;executive
ガソリン;gasoline, petrol
強烈;strong, intense
